# i, j, E_i, E_j
3.000000000000000000e+00 2.900000000000000000e+01 8.178421827926770932e-06 1.098645238438549485e-04
3.000000000000000000e+00 3.000000000000000000e+01 9.929923998323620391e-06 1.063823664824861893e-04
3.000000000000000000e+00 3.100000000000000000e+01 1.157670119325914892e-05 1.027514154022100997e-04
3.000000000000000000e+00 3.200000000000000000e+01 1.295690656726692399e-05 9.829579024953398957e-05
3.000000000000000000e+00 3.300000000000000000e+01 1.423479612703014473e-05 9.373470758031815714e-05
3.000000000000000000e+00 3.400000000000000000e+01 1.526619987474487380e-05 8.847729119496678047e-05
3.000000000000000000e+00 3.500000000000000000e+01 1.618520707880123145e-05 8.329722089678679592e-05
3.000000000000000000e+00 3.600000000000000000e+01 1.695672684187065845e-05 7.744580065701032437e-05
3.000000000000000000e+00 3.700000000000000000e+01 1.742127501594623582e-05 7.188855990036690125e-05
3.000000000000000000e+00 3.800000000000000000e+01 1.782695659365834549e-05 6.589222147086027217e-05
3.000000000000000000e+00 3.900000000000000000e+01 1.800345634849706024e-05 6.006756951083194599e-05
3.000000000000000000e+00 4.000000000000000000e+01 1.815530631291488418e-05 5.396208412631888992e-05
3.000000000000000000e+00 4.100000000000000000e+01 1.828821217789390532e-05 4.802060878425911956e-05
3.000000000000000000e+00 4.200000000000000000e+01 1.831630587270186039e-05 4.197304643423232671e-05
3.000000000000000000e+00 4.300000000000000000e+01 1.835590406970003983e-05 3.603854318633495108e-05
3.000000000000000000e+00 4.400000000000000000e+01 1.820829854442162550e-05 3.017980348507405791e-05
3.000000000000000000e+00 4.500000000000000000e+01 1.830466217556948308e-05 2.425247966947560152e-05
3.000000000000000000e+00 4.600000000000000000e+01 1.815729866163550839e-05 1.838001712696099262e-05
3.000000000000000000e+00 4.700000000000000000e+01 1.795402473903901817e-05 1.265911287093458222e-05
3.000000000000000000e+00 4.800000000000000000e+01 1.989230809639078187e-05 6.709472638101568508e-06
3.000000000000000000e+00 4.900000000000000000e+01 2.194102074722115655e-05 0.000000000000000000e+00
4.000000000000000000e+00 0.000000000000000000e+00 -2.696457854272832342e-05 0.000000000000000000e+00
4.000000000000000000e+00 1.000000000000000000e+00 -2.453109458517883386e-05 6.347668578673227251e-06
4.000000000000000000e+00 2.000000000000000000e+00 -2.232608994760820233e-05 1.189504350926824072e-05
4.000000000000000000e+00 3.000000000000000000e+00 -2.269656172789308302e-05 1.738732086545195321e-05
4.000000000000000000e+00 4.000000000000000000e+00 -2.286792445258793596e-05 2.291003826721143725e-05
4.000000000000000000e+00 5.000000000000000000e+00 -2.307326967121085912e-05 2.843519773846532616e-05
4.000000000000000000e+00 6.000000000000000000e+00 -2.324430493469427887e-05 3.404183142002861019e-05
4.000000000000000000e+00 7.000000000000000000e+00 -2.355616097410115773e-05 3.976878209232655929e-05
4.000000000000000000e+00 8.000000000000000000e+00 -2.374529113661665643e-05 4.551911250941844409e-05
4.000000000000000000e+00 9.000000000000000000e+00 -2.386840592929618100e-05 5.134722347905509398e-05
4.000000000000000000e+00 1.000000000000000000e+01 -2.397200833741840913e-05 5.732057436504814428e-05
4.000000000000000000e+00 1.100000000000000000e+01 -2.381676710022393524e-05 6.314522366655518594e-05
4.000000000000000000e+00 1.200000000000000000e+01 -2.373179461083360078e-05 6.919188061828798915e-05
4.000000000000000000e+00 1.300000000000000000e+01 -2.336700210598538431e-05 7.518953847219805202e-05
4.000000000000000000e+00 1.400000000000000000e+01 -2.280535361083311564e-05 8.087617618091235056e-05
4.000000000000000000e+00 1.500000000000000000e+01 -2.206456455902024443e-05 8.664117956545347530e-05
4.000000000000000000e+00 1.600000000000000000e+01 -2.101365491023355768e-05 9.202063018626753911e-05
4.000000000000000000e+00 1.700000000000000000e+01 -1.966475923553272676e-05 9.731846730387007111e-05
4.000000000000000000e+00 1.800000000000000000e+01 -1.811405143900353854e-05 1.021486484049407542e-04
4.000000000000000000e+00 1.900000000000000000e+01 -1.625795973059270395e-05 1.067116197003438309e-04
4.000000000000000000e+00 2.000000000000000000e+01 -1.426105510115698591e-05 1.106618893206080844e-04
4.000000000000000000e+00 2.100000000000000000e+01 -1.175858652981761222e-05 1.139551479506135956e-04
4.000000000000000000e+00 2.200000000000000000e+01 -9.152765673790683393e-06 1.165865200306571926e-04
4.000000000000000000e+00 2.300000000000000000e+01 -6.374572033789169170e-06 1.186052922004890181e-04
4.000000000000000000e+00 2.400000000000000000e+01 -3.437520971486180462e-06 1.197253525213553920e-04
4.000000000000000000e+00 2.500000000000000000e+01 -4.497223643762100331e-07 1.200402510433058766e-04
4.000000000000000000e+00 2.600000000000000000e+01 2.570599948445629777e-06 1.195324339095753100e-04
4.000000000000000000e+00 2.700000000000000000e+01 5.538717633186111692e-06 1.182502473288119459e-04
4.000000000000000000e+00 2.800000000000000000e+01 8.241580555599123219e-06 1.162184742994444098e-04
4.000000000000000000e+00 2.900000000000000000e+01 1.096753085116054728e-05 1.135008841382895389e-04
4.000000000000000000e+00 3.000000000000000000e+01 1.340347157094447781e-05 1.098937527759139368e-04
4.000000000000000000e+00 3.100000000000000000e+01 1.551161869449812071e-05 1.059326299338429506e-04
4.000000000000000000e+00 3.200000000000000000e+01 1.762000350087115333e-05 1.011864169638048360e-04
4.000000000000000000e+00 3.300000000000000000e+01 1.916438953938933288e-05 9.626556385355764965e-05
4.000000000000000000e+00 3.400000000000000000e+01 2.048576250763823854e-05 9.084246867304158752e-05
4.000000000000000000e+00 3.500000000000000000e+01 2.166816415338456672e-05 8.517623152233321860e-05
4.000000000000000000e+00 3.600000000000000000e+01 2.258382758141399887e-05 7.925959092524917089e-05
4.000000000000000000e+00 3.700000000000000000e+01 2.315088736487891700e-05 7.325592527024973053e-05
4.000000000000000000e+00 3.800000000000000000e+01 2.364189242624255044e-05 6.713238926230424126e-05
4.000000000000000000e+00 3.900000000000000000e+01 2.397334980493991976e-05 6.103052222770051299e-05
4.000000000000000000e+00 4.000000000000000000e+01 2.416014005119934227e-05 5.483349452149956411e-05
4.000000000000000000e+00 4.100000000000000000e+01 2.429785039719537182e-05 4.867397618773862151e-05
4.000000000000000000e+00 4.200000000000000000e+01 2.422321840940482138e-05 4.258737753941660366e-05
4.000000000000000000e+00 4.300000000000000000e+01 2.407612086539655325e-05 3.660866087866296466e-05
4.000000000000000000e+00 4.400000000000000000e+01 2.407405441409577449e-05 3.051315902460547265e-05
4.000000000000000000e+00 4.500000000000000000e+01 2.408035031916643665e-05 2.453021169741308248e-05
4.000000000000000000e+00 4.600000000000000000e+01 2.394480875568768440e-05 1.864239758981857354e-05
4.000000000000000000e+00 4.700000000000000000e+01 2.415104003330633745e-05 1.272007417972640108e-05
4.000000000000000000e+00 4.800000000000000000e+01 2.615926759763608837e-05 7.021868479547861081e-06
4.000000000000000000e+00 4.900000000000000000e+01 2.799165373656927974e-05 0.000000000000000000e+00
5.000000000000000000e+00 0.000000000000000000e+00 -3.240072402155226745e-05 0.000000000000000000e+00
5.000000000000000000e+00 1.000000000000000000e+00 -3.046217739079579915e-05 6.644173283314497002e-06
5.000000000000000000e+00 2.000000000000000000e+00 -2.824436212686759148e-05 1.203717682244112938e-05
5.000000000000000000e+00 3.000000000000000000e+00 -2.824504957114633947e-05 1.749307941054647423e-05
5.000000000000000000e+00 4.000000000000000000e+00 -2.842865493124855622e-05 2.307649489323558448e-05
5.000000000000000000e+00 5.000000000000000000e+00 -2.877987474061843718e-05 2.875789324221111643e-05
5.000000000000000000e+00 6.000000000000000000e+00 -2.907248782388138298e-05 3.451855056092242434e-05
5.000000000000000000e+00 7.000000000000000000e+00 -2.941150439595895344e-05 4.035261103059020250e-05
5.000000000000000000e+00 8.000000000000000000e+00 -2.966197643224340930e-05 4.623379397591291864e-05
5.000000000000000000e+00 9.000000000000000000e+00 -2.985258005282261247e-05 5.225470858515794768e-05
5.000000000000000000e+00 1.000000000000000000e+01 -3.003739609709531948e-05 5.836824737632625884e-05
5.000000000000000000e+00 1.100000000000000000e+01 -2.997531674308519397e-05 6.448077462874656982e-05
5.000000000000000000e+00 1.200000000000000000e+01 -2.991900322435065980e-05 7.080819550936157938e-05
5.000000000000000000e+00 1.300000000000000000e+01 -2.943126882747231009e-05 7.687525141823750509e-05
5.000000000000000000e+00 1.400000000000000000e+01 -2.888220620931352604e-05 8.315195372366257563e-05
5.000000000000000000e+00 1.500000000000000000e+01 -2.781039567933705288e-05 8.901450627105141999e-05
5.000000000000000000e+00 1.600000000000000000e+01 -2.675998912498594334e-05 9.494337237797600450e-05
5.000000000000000000e+00 1.700000000000000000e+01 -2.514155085491515790e-05 1.005873708152883240e-04
5.000000000000000000e+00 1.800000000000000000e+01 -2.310039124482664904e-05 1.058610824650120952e-04
5.000000000000000000e+00 1.900000000000000000e+01 -2.088389715328538765e-05 1.107419372161109279e-04
5.000000000000000000e+00 2.000000000000000000e+01 -1.805268461633167953e-05 1.149772818060580833e-04
5.000000000000000000e+00 2.100000000000000000e+01 -1.504656619864971033e-05 1.186036771899769756e-04
5.000000000000000000e+00 2.200000000000000000e+01 -1.181682660441083854e-05 1.215619260900800127e-04
5.000000000000000000e+00 2.300000000000000000e+01 -8.179855567764507049e-06 1.237216777115839582e-04
5.000000000000000000e+00 2.400000000000000000e+01 -4.434420417329413763e-06 1.250648394242729374e-04
5.000000000000000000e+00 2.500000000000000000e+01 -5.868379175415151978e-07 1.254448545150220831e-04
5.000000000000000000e+00 2.600000000000000000e+01 3.329841822246562989e-06 1.248270885457679834e-04
5.000000000000000000e+00 2.700000000000000000e+01 6.984573770455382215e-06 1.235700801019847894e-04
5.000000000000000000e+00 2.800000000000000000e+01 1.064073754594008605e-05 1.212296893600718888e-04
5.000000000000000000e+00 2.900000000000000000e+01 1.407876610276607423e-05 1.181378611551872637e-04
5.000000000000000000e+00 3.000000000000000000e+01 1.712626680903462165e-05 1.143279512549607929e-04
5.000000000000000000e+00 3.100000000000000000e+01 1.977792800910495611e-05 1.098919667492219985e-04
5.000000000000000000e+00 3.200000000000000000e+01 2.230517487911257190e-05 1.048746456288483970e-04
5.000000000000000000e+00 3.300000000000000000e+01 2.434753221749035045e-05 9.949888923700740836e-05
5.000000000000000000e+00 3.400000000000000000e+01 2.607931406700052072e-05 9.364349092499845892e-05
5.000000000000000000e+00 3.500000000000000000e+01 2.740780583044679438e-05 8.765539654740438333e-05
5.000000000000000000e+00 3.600000000000000000e+01 2.853735328813325998e-05 8.142245344033608129e-05
